id,name,district,city,enrollment,up_to_date_count,conditional_count,personal_belief_exemption_count,permanent_medical_exemption_count,up_to_date_percent,conditional_percent,personal_belief_exemption_percent,permanent_medical_exemption_percent,type,is_religious,religion,frpm_percent,latitude,longitude
6090435,PROCTOR ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,81,80,1,0,0,99,1,0,0,PUBLIC,,,15.4,37.716739,-122.0737
6090468,STANTON ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,92,90,2,0,0,98,2,0,0,PUBLIC,,,33.7,37.700622,-122.09389
6090484,VANNOY ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,57,53,3,1,0,93,5,2,0,PUBLIC,,,9.9,37.706604,-122.05868
6113005,JENSEN RANCH ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,68,66,2,0,0,97,3,0,0,PUBLIC,,,2.7,37.712412,-122.03106
6090492,ANNA YATES ELEMENTARY,EMERY UNIFIED,EMERYVILLE,62,31,28,3,0,50,45,5,0,PUBLIC,,,64,37.832516,-122.27846
6000541,JOHN BLACOW ELEMENTARY,FREMONT UNIFIED,FREMONT,78,70,7,1,0,90,9,1,0,PUBLIC,,,43.4,37.528078,-121.97607
6000558,BRIER ELEMENTARY,FREMONT UNIFIED,FREMONT,137,133,2,2,0,97,1,1,0,PUBLIC,,,44.6,37.539757,-121.98467
6000566,CABRILLO ELEMENTARY,FREMONT UNIFIED,FREMONT,49,47,1,1,0,96,2,2,0,PUBLIC,,,57.5,37.550804,-122.02335
6000590,E. M. GRIMMER ELEMENTARY,FREMONT UNIFIED,FREMONT,47,46,0,1,0,98,0,2,0,PUBLIC,,,60,37.520434,-121.95058
6000624,GLENMOOR ELEMENTARY,FREMONT UNIFIED,FREMONT,105,92,10,3,0,88,10,3,0,PUBLIC,,,32.7,37.545714,-122.0049
6000640,HARVEY GREEN ELEMENTARY,FREMONT UNIFIED,FREMONT,81,80,0,1,0,99,0,1,0,PUBLIC,,,27.4,37.518138,-121.95807
6000665,J. HALEY DURHAM ELEMENTARY,FREMONT UNIFIED,FREMONT,140,140,0,0,0,100,0,0,0,PUBLIC,,,39.3,37.542049,-121.9669
6000673,JAMES LEITCH ELEMENTARY,FREMONT UNIFIED,FREMONT,269,260,6,3,0,97,2,1,0,PUBLIC,,,3,37.486492,-121.92332
6000681,JOSEPH AZEVADA ELEMENTARY,FREMONT UNIFIED,FREMONT,100,94,1,5,0,94,1,5,0,PUBLIC,,,28.1,37.530946,-121.99419
6000715,TOM MALONEY ELEMENTARY,FREMONT UNIFIED,FREMONT,114,106,4,4,0,93,4,4,0,PUBLIC,,,29.3,37.546667,-121.99725
6000723,JOHN G. MATTOS ELEMENTARY,FREMONT UNIFIED,FREMONT,72,71,0,1,0,99,0,1,0,PUBLIC,,,13.1,37.538067,-122.01174
6000749,MISSION VALLEY ELEMENTARY,FREMONT UNIFIED,FREMONT,48,47,0,1,0,98,0,2,0,PUBLIC,,,4.6,37.535765,-121.94743
6000756,NILES ELEMENTARY,FREMONT UNIFIED,FREMONT,96,92,1,2,1,96,1,2,1,PUBLIC,,,7.1,37.576003,-121.98478
6000764,O. N. HIRSCH ELEMENTARY,FREMONT UNIFIED,FREMONT,48,48,0,0,0,100,0,0,0,PUBLIC,,,23,37.52823,-121.96287
6000798,PARKMONT ELEMENTARY,FREMONT UNIFIED,FREMONT,168,165,1,2,0,98,1,1,0,PUBLIC,,,9.6,37.560207,-121.98468
6000806,PATTERSON ELEMENTARY,FREMONT UNIFIED,FREMONT,82,78,2,2,0,95,2,2,0,PUBLIC,,,30.1,37.562269,-122.03083
6000830,VALLEJO MILL ELEMENTARY,FREMONT UNIFIED,FREMONT,96,94,1,1,0,98,1,1,0,PUBLIC,,,27,37.574513,-121.95988
6066468,JOHN GOMES ELEMENTARY,FREMONT UNIFIED,FREMONT,114,113,0,1,0,99,0,1,0,PUBLIC,,,3.2,37.550339,-121.94759
6089320,BROOKVALE ELEMENTARY,FREMONT UNIFIED,FREMONT,206,200,1,5,0,97,0,2,0,PUBLIC,,,13.1,37.568791,-122.01399
6089619,WARWICK ELEMENTARY,FREMONT UNIFIED,FREMONT,118,117,1,0,0,99,1,0,0,PUBLIC,,,20,37.577208,-122.0319
6090526,JOSHUA CHADBOURNE ELEMENTARY,FREMONT UNIFIED,FREMONT,96,93,2,1,0,97,2,1,0,PUBLIC,,,5,37.542139,-121.93997
6090534,MISSION SAN JOSE ELEMENTARY,FREMONT UNIFIED,FREMONT,91,88,1,1,1,97,1,1,1,PUBLIC,,,1.3,37.528231,-121.9218
6090542,OLIVEIRA ELEMENTARY,FREMONT UNIFIED,FREMONT,105,100,2,2,1,95,2,2,1,PUBLIC,,,22.9,37.560406,-122.01774
6090559,STEVEN MILLARD ELEMENTARY,FREMONT UNIFIED,FREMONT,79,78,1,0,0,99,1,0,0,PUBLIC,,,24.2,37.520092,-121.97397
6104723,ARDENWOOD ELEMENTARY,FREMONT UNIFIED,FREMONT,160,151,8,1,0,94,5,1,0,PUBLIC,,,8.1,37.572594,-122.05303
6106983,FRED E. WEIBEL ELEMENTARY,FREMONT UNIFIED,FREMONT,137,135,2,0,0,99,1,0,0,PUBLIC,,,4.5,37.507335,-121.92837
6111330,FOREST PARK ELEMENTARY,FREMONT UNIFIED,FREMONT,120,119,0,1,0,99,0,1,0,PUBLIC,,,3.6,37.561188,-122.05189
111815,STONEBRAE ELEMENTARY,HAYWARD UNIFIED,HAYWARD,92,81,11,0,0,88,12,0,0,PUBLIC,,,42.6,37.654755,-122.02046
